Modelo,Error Medio,Desv. Estándar,Error Mínimo,Error Máximo,Error Abs. Medio
LSTM Base,406.75,241.62,59.89,1200.54,406.75
LSTM + Sentimiento,563.84,291.68,122.15,1482.37,563.84
