Modelo,Features,RMSE,MAE,R²,MAPE
LSTM Base (sin sentimiento),6 vars,$472.94,$406.75,-0.3901,12.65%
LSTM + Sentimiento,9 vars,$634.65,$563.84,-1.5031,17.71%
