fecha,precio_real,pred_base,pred_sentiment,error_base,error_sentiment
2024-08-05,2404.675,2332.2847,2265.6694,72.39033203125018,139.00556640625018
2024-08-06,2383.748,2323.8542,2261.5955,59.89375195312505,122.15254101562505
2024-08-07,2384.685,2311.2014,2253.778,73.48358398437495,130.90692382812495
2024-08-08,2424.445,2300.675,2243.7146,123.76995117187516,180.73040039062516
2024-08-09,2430.925,2300.232,2238.2173,130.69306640625018,192.70771484375018
2024-08-10,2430.925,2304.929,2238.242,125.99604492187518,192.68305664062518
2024-08-11,2427.765,2310.6904,2239.0056,117.07457031249987,188.75938476562487
2024-08-12,2475.425,2315.5315,2241.008,159.89350585937518,234.41694335937518
2024-08-13,2463.975,2326.836,2249.1135,137.1390624999999,214.8614746093749
2024-08-14,2449.295,2335.0847,2258.074,114.21028320312507,191.22102539062507
2024-08-15,2457.195,2337.621,2263.6328,119.57390625000016,193.56218750000016
2024-08-16,2506.844,2338.5608,2267.227,168.28320898437505,239.61694921875005
2024-08-17,2506.844,2346.8682,2271.5442,159.97583593750005,235.29981054687505
2024-08-18,2506.305,2352.2039,2274.8127,154.10114257812484,231.49225585937484
2024-08-19,2503.515,2358.3708,2279.3428,145.14415039062487,224.17222656249987
2024-08-20,2512.795,2362.4868,2283.0864,150.30818359375007,229.70857421875007
2024-08-21,2512.585,2367.5208,2288.2075,145.06424804687504,224.37748046875004
2024-08-22,2487.475,2370.7734,2292.4968,116.70156249999991,194.9781738281249
2024-08-23,2512.235,2367.6096,2292.6082,144.62538085937513,219.62684570312513
2024-08-25,2515.785,2367.9587,2291.902,147.82625976562485,223.88290039062485
2024-08-27,2525.1780000000003,2370.164,2291.8489,155.01393750000034,233.32912304687534
2024-08-28,2508.094,2374.208,2293.7083,133.88599218750005,214.38574804687505
2024-08-29,2519.435,2374.6414,2296.6348,144.79364257812495,222.80023437499995
2024-08-30,2502.925,2376.6013,2299.7178,126.32368164062518,203.20722656250018
2024-09-01,2502.885,2375.5916,2300.6365,127.29344726562522,202.24852539062522
2024-09-02,2497.175,2374.1804,2301.0222,122.99458007812518,196.15278320312518
2024-09-03,2493.155,2371.821,2298.545,121.3339550781252,194.6100781250002
2024-09-04,2495.695,2368.733,2293.3855,126.96208984375016,202.30950195312516
2024-09-05,2517.125,2366.7595,2288.1096,150.365478515625,229.015380859375
2024-09-06,2497.0350000000003,2370.5837,2286.971,126.45125976562531,210.0640527343753
2024-09-07,2497.0350000000003,2372.0105,2286.0862,125.02450195312531,210.9488183593753
2024-09-08,2496.745,2374.1516,2286.5396,122.59338867187489,210.2054492187499
2024-09-10,2518.5550000000003,2375.1843,2286.9976,143.3706738281253,231.5574414062503
2024-09-11,2511.778,2378.7664,2289.148,133.0116425781248,222.6300507812498
2024-09-12,2558.344,2382.0134,2293.424,176.33057226562505,264.91992773437505
2024-09-13,2577.615,2392.5908,2301.3909,185.02417968749978,276.2241308593748
2024-09-14,2577.615,2406.5994,2313.3926,171.01563476562478,264.2224218749998
2024-09-15,2579.025,2417.096,2325.022,161.9290527343751,254.0030273437501
2024-09-16,2583.545,2425.257,2333.8857,158.28791992187507,249.65925781250007
2024-09-17,2573.885,2431.1912,2339.2,142.69383789062522,234.68504882812522
2024-09-18,2559.175,2432.4177,2339.4446,126.75727539062518,219.73041992187518
2024-09-19,2587.135,2429.5234,2335.4343,157.61156250000022,251.70067382812522
2024-09-20,2621.504,2430.0957,2332.4841,191.4082968749999,289.0198691406249
2024-09-21,2621.504,2437.311,2334.157,184.1929648437499,287.3470175781249
2024-09-22,2620.165,2443.0703,2336.6494,177.09468749999996,283.51558593749996
2024-09-23,2626.205,2448.8438,2340.6194,177.36124999999993,285.5856152343749
2024-09-24,2658.0350000000003,2454.4226,2344.8145,203.6123925781253,313.2205468750003
2024-09-25,2656.188,2463.6565,2350.3213,192.5315058593751,305.8667109375001
2024-09-26,2672.495,2471.305,2357.3066,201.1900683593749,315.1883593749999
2024-09-27,2657.955,2479.2424,2366.3354,178.71256835937493,291.6195507812499
2024-09-29,2663.418,2481.4624,2370.455,181.95559765625012,292.9629218750001
2024-09-30,2635.595,2482.4578,2372.0518,153.1372363281248,263.5432421874998
2024-10-01,2660.2180000000003,2477.012,2368.8323,183.2060371093753,291.3857246093753
2024-10-02,2660.135,2475.393,2365.2446,184.74193359375022,294.8903710937502
2024-10-03,2655.615,2474.355,2362.536,181.26001953124978,293.0791113281248
2024-10-04,2653.545,2473.0986,2359.77,180.44636718750007,293.7749804687501
2024-10-05,2653.545,2472.093,2358.5132,181.45198242187507,295.0318164062501
2024-10-06,2650.055,2471.715,2358.3394,178.33991210937484,291.71564453124984
2024-10-07,2642.855,2471.4487,2358.362,171.40626953125002,284.492939453125
2024-10-08,2621.865,2470.443,2359.023,151.42188476562478,262.8420507812498
2024-10-09,2608.645,2465.2927,2357.314,143.35227539062498,251.33103515624998
2024-10-10,2633.005,2457.996,2352.488,175.0089062500001,280.5169628906251
2024-10-11,2656.835,2455.6213,2349.575,201.21366210937504,307.26004882812504
2024-10-13,2647.865,2459.848,2349.6768,188.01709960937478,298.1882421874998
2024-10-14,2649.255,2464.3545,2351.0256,184.9005078125001,298.2293652343751
2024-10-15,2660.345,2469.0066,2352.991,191.3384082031248,307.3540332031248
2024-10-16,2673.998,2473.8015,2354.143,200.19648632812505,319.85493359375005
2024-10-17,2693.635,2479.9038,2357.608,213.73119140625022,336.0270898437502
2024-10-18,2721.105,2487.764,2364.4377,233.34108398437502,356.667255859375
