UTC,Open,High,Low,Close,Volume
2016-01-03,1062.341,1066.321,1061.7289999999998,1063.059,1.61136
2016-01-04,1063.059,1083.488,1062.239,1072.979,76.56875
2016-01-05,1072.99,1082.048,1072.629,1077.632,72.43959
2016-01-06,1077.632,1095.18,1074.928,1092.559,77.55685
2016-01-07,1092.559,1110.08,1091.35,1109.21,94.99869
2016-01-08,1109.199,1112.949,1092.229,1104.031,89.03622
2016-01-09,1109.199,1112.949,1092.229,1104.031,0.0
2016-01-10,1103.751,1108.151,1103.531,1106.622,0.59638
2016-01-11,1106.622,1108.401,1093.439,1095.69,90.47447
2016-01-12,1095.699,1099.192,1083.4489999999998,1086.459,90.81362
2016-01-13,1086.448,1095.451,1079.76,1094.932,91.39667
2016-01-14,1094.932,1095.161,1071.419,1076.851,96.99358000000001
2016-01-15,1076.848,1097.2820000000002,1076.199,1088.371,100.26508
2016-01-16,1076.848,1097.2820000000002,1076.199,1088.371,0.0
2016-01-17,1089.402,1090.7820000000002,1089.189,1090.332,0.95787
2016-01-18,1090.281,1093.31,1087.508,1088.49,65.32665
2016-01-19,1088.489,1094.53,1082.459,1087.789,102.35461
2016-01-20,1087.79,1109.619,1087.769,1099.38,94.26111
2016-01-21,1099.379,1104.509,1092.389,1100.629,100.27918
2016-01-22,1100.652,1102.779,1094.038,1097.462,73.50245
2016-01-23,1100.652,1102.779,1094.038,1097.462,0.0
2016-01-24,1097.3,1098.101,1097.13,1097.801,0.99359
2016-01-25,1097.801,1108.99,1097.581,1108.7810000000002,59.64886
2016-01-26,1108.781,1122.908,1107.482,1119.501,67.3316
2016-01-27,1119.501,1127.99,1114.871,1124.689,63.076
2016-01-28,1124.699,1124.852,1110.9,1114.17,69.55196000000001
2016-01-29,1114.169,1118.401,1108.352,1117.891,69.57642
2016-01-30,1114.169,1118.401,1108.352,1117.891,0.0
2016-01-31,1117.641,1118.059,1115.352,1117.518,1.08152
2016-02-01,1117.518,1129.68,1116.898,1128.221,65.6104
2016-02-02,1128.19,1130.951,1122.272,1127.35,62.23687
2016-02-03,1127.349,1145.458,1124.319,1141.95,87.3389
2016-02-04,1141.899,1157.308,1139.548,1155.449,97.63203
2016-02-05,1155.449,1174.49,1145.188,1173.352,91.53889
2016-02-06,1155.449,1174.49,1145.188,1173.352,0.0
2016-02-07,1173.299,1173.299,1164.739,1164.789,1.9711
2016-02-08,1164.789,1200.799,1164.248,1190.99,102.97701
2016-02-09,1190.989,1198.881,1185.6409999999998,1189.1809999999998,110.7749
2016-02-10,1189.181,1198.609,1181.489,1198.6,106.40307
2016-02-11,1198.61,1263.329,1198.1409999999998,1240.27,124.24411
2016-02-12,1240.2,1246.088,1232.372,1237.452,111.57354000000001
2016-02-13,1240.2,1246.088,1232.372,1237.452,0.0
2016-02-14,1231.088,1234.302,1230.651,1233.409,1.81195
2016-02-15,1233.4,1234.799,1202.191,1207.86,67.18811
2016-02-16,1207.87,1216.939,1190.8290000000002,1202.5220000000002,104.16979
2016-02-17,1202.522,1213.712,1195.608,1206.941,107.92551
2016-02-18,1206.972,1239.879,1200.691,1231.0490000000002,97.24392
2016-02-19,1231.079,1234.5279999999998,1219.902,1225.832,99.29898
2016-02-20,1231.079,1234.5279999999998,1219.902,1225.832,0.0
2016-02-21,1225.059,1226.129,1223.508,1225.48,2.00394
2016-02-22,1225.479,1226.188,1201.871,1208.7900000000002,95.75574
