Date,Open,High,Low,Close,Volume,Returns,Volatility_30
2016-01-03,1062.341,1066.321,1061.7289999999998,1063.059,1.61136,,
2016-01-04,1063.059,1083.488,1062.239,1072.979,76.56875,0.009288291049479492,
2016-01-05,1072.99,1082.048,1072.629,1077.632,72.43959,0.004327149131399294,
2016-01-06,1077.632,1095.18,1074.928,1092.559,77.55685,0.013756609813065519,
2016-01-07,1092.559,1110.08,1091.35,1109.21,94.99869,0.015125399119445517,
2016-01-08,1109.199,1112.949,1092.229,1104.031,89.03622,-0.004680023054697224,
2016-01-09,1109.199,1112.949,1092.229,1104.031,0.0,0.0,
2016-01-10,1103.751,1108.151,1103.531,1106.622,0.59638,0.0023441048291386797,
2016-01-11,1106.622,1108.401,1093.439,1095.69,90.47447,-0.009927830198140584,
2016-01-12,1095.699,1099.192,1083.4489999999998,1086.459,90.81362,-0.008460517648543121,
2016-01-13,1086.448,1095.451,1079.76,1094.932,91.39667,0.007768476730254347,
2016-01-14,1094.932,1095.161,1071.419,1076.851,96.99358,-0.016651219541053332,
2016-01-15,1076.848,1097.2820000000002,1076.199,1088.371,100.26508,0.010641041613553528,
2016-01-16,1076.848,1097.2820000000002,1076.199,1088.371,0.0,0.0,
2016-01-17,1089.402,1090.7820000000002,1089.189,1090.332,0.95787,0.0018001540637347967,
2016-01-18,1090.281,1093.31,1087.508,1088.49,65.32665,-0.0016908223240247738,
2016-01-19,1088.489,1094.53,1082.459,1087.789,102.35461,-0.0006442188931143219,
2016-01-20,1087.79,1109.619,1087.769,1099.38,94.26111,0.010599188735375817,
2016-01-21,1099.379,1104.509,1092.389,1100.629,100.27918,0.0011354500224217046,
2016-01-22,1100.652,1102.779,1094.038,1097.462,73.50245,-0.0028815933384494087,
2016-01-23,1100.652,1102.779,1094.038,1097.462,0.0,0.0,
2016-01-24,1097.3,1098.101,1097.13,1097.801,0.99359,0.0003088468239974663,
2016-01-25,1097.801,1108.99,1097.581,1108.7810000000002,59.64886,0.009952125618578089,
2016-01-26,1108.781,1122.908,1107.482,1119.501,67.3316,0.009621836647641819,
2016-01-27,1119.501,1127.99,1114.871,1124.689,63.076,0.004623502681938784,
2016-01-28,1124.699,1124.852,1110.9,1114.17,69.55196000000001,-0.009396819900128556,
2016-01-29,1114.169,1118.401,1108.352,1117.891,69.57642,0.003334141358179992,
2016-01-30,1114.169,1118.401,1108.352,1117.891,0.0,0.0,
2016-01-31,1117.641,1118.059,1115.352,1117.518,1.08152,-0.0003337196937667695,
2016-02-01,1117.518,1129.68,1116.898,1128.221,65.6104,0.009531901113062196,
2016-02-02,1128.19,1130.951,1122.272,1127.35,62.23687,-0.0007723100210929347,11.750684207189838
2016-02-03,1127.349,1145.458,1124.319,1141.95,87.3389,0.012867581587810225,11.988119716078256
2016-02-04,1141.899,1157.308,1139.548,1155.449,97.63203,0.011751685582706516,12.298347377845479
2016-02-05,1155.449,1174.49,1145.188,1173.352,91.53889,0.015375596885356094,12.437293673705087
2016-02-06,1155.449,1174.49,1145.188,1173.352,0.0,0.0,11.848831628474166
2016-02-07,1173.299,1173.299,1164.739,1164.789,1.9711,-0.007324655171883016,11.999775550158146
2016-02-08,1164.789,1200.799,1164.248,1190.99,102.97701,0.022244939297914348,13.366274063712154
2016-02-09,1190.989,1198.881,1185.6409999999998,1189.1809999999998,110.7749,-0.0015200591455992408,13.417694667104541
2016-02-10,1189.181,1198.609,1181.489,1198.6,106.40307,0.00788937415525862,12.981996354527588
2016-02-11,1198.61,1263.329,1198.1409999999998,1240.27,124.24411,0.03417488880814694,15.374100005647678
2016-02-12,1240.2,1246.088,1232.372,1237.452,111.57354,-0.002274671020443524,15.458969481316972
2016-02-13,1240.2,1246.088,1232.372,1237.452,0.0,0.0,14.222520656151133
2016-02-14,1231.088,1234.302,1230.651,1233.409,1.81195,-0.003272546378147892,14.283396157980077
2016-02-15,1233.4,1234.799,1202.191,1207.86,67.18811,-0.02093168169484847,15.999634275376348
2016-02-16,1207.87,1216.939,1190.8290000000002,1202.5220000000002,104.16979,-0.0044291807079357825,16.157293814225543
2016-02-17,1202.522,1213.712,1195.608,1206.941,107.92551,0.0036680413474940907,16.088978568044286
2016-02-18,1206.972,1239.879,1200.691,1231.0490000000002,97.24392,0.01977759205045967,16.714673885532537
2016-02-19,1231.079,1234.5279999999998,1219.902,1225.832,99.29898,-0.004246854317363713,16.76864344588063
2016-02-20,1231.079,1234.5279999999998,1219.902,1225.832,0.0,0.0,16.786535760629913
2016-02-21,1225.059,1226.129,1223.508,1225.48,2.00394,-0.0002871931458904589,16.716298620454168
2016-02-22,1225.479,1226.188,1201.871,1208.7900000000002,95.75574,-0.013712744708352348,17.43544313937064
2016-02-23,1208.789,1232.559,1207.15,1230.302,98.68877,0.017639808427366017,17.901249596291848
2016-02-24,1230.3,1253.251,1221.129,1224.37,127.64798,-0.004833241710284412,17.972340664484477
2016-02-25,1224.38,1242.931,1224.0490000000002,1233.5890000000002,127.092,0.007501380804102799,17.918008353520047
2016-02-26,1233.589,1240.458,1211.459,1222.4209999999998,101.15642,-0.009094488194322896,18.26339736251546
2016-02-27,1233.589,1240.458,1211.459,1222.4209999999998,0.0,0.0,17.91889767155427
2016-02-28,1222.511,1222.82,1215.651,1221.241,1.87398,-0.0009657637526919215,17.957119128363523
2016-02-29,1221.241,1241.811,1219.889,1240.339,111.482,0.015517174501041012,18.295771104028745
2016-03-01,1240.34,1248.461,1227.149,1232.149,117.77073,-0.006624929993348139,18.498999234360568
2016-03-02,1232.15,1244.009,1224.708,1240.9,97.68468,0.007077123441508073,18.440208050462186
2016-03-03,1240.889,1268.248,1237.352,1259.89,121.57828,0.015187492766642857,18.72147931528753
2016-03-04,1259.889,1279.728,1250.508,1258.991,121.49802,-0.0007138090590003033,18.55697678908086
2016-03-05,1259.889,1279.728,1250.508,1258.991,0.0,0.0,18.40118026339544
2016-03-06,1260.112,1263.93,1258.14,1263.739,1.98079,0.0037641805553677724,18.018710037875422
2016-03-07,1263.739,1273.111,1256.659,1267.76,108.7055,0.0031767765909685186,18.00433038446985
2016-03-08,1267.759,1278.04,1260.5,1263.0600000000002,110.36281,-0.003714215474190602,17.8615866966768
2016-03-09,1263.21,1264.889,1242.912,1253.459,108.80288,-0.0076304185133799045,17.103480593225726
2016-03-10,1253.58,1273.299,1237.111,1271.051,102.32279,0.013937187622579842,17.433809033343557
2016-03-11,1271.002,1284.189,1248.169,1250.392,105.7797,-0.01638701513541721,18.15268909273503
2016-03-12,1271.002,1284.189,1248.169,1250.392,0.0,0.0,15.265115742893004
2016-03-13,1249.98,1253.36,1247.84,1252.779,2.62423,0.0019071815097950551,15.252627784221481
2016-03-14,1252.789,1261.038,1229.198,1236.129,82.50781,-0.013379561140323175,15.768127485047708
2016-03-15,1236.13,1238.039,1225.659,1232.839,78.68875,-0.0026650826963443065,15.758271265139525
2016-03-16,1232.83,1263.842,1226.7179999999998,1258.7610000000002,95.68325,0.02080826401551907,15.586558394470748
2016-03-17,1258.779,1270.892,1254.389,1258.9789999999998,122.93197,0.00017317117775812475,15.494412129751517
2016-03-18,1258.98,1266.848,1247.798,1254.788,102.12044,-0.0033344410067711714,15.543260846065685
2016-03-19,1258.98,1266.848,1247.798,1254.788,0.0,0.0,14.523238200137053
2016-03-20,1254.178,1255.96,1252.499,1253.119,3.6727,-0.0013309905402323198,14.462499077517363
2016-03-21,1253.089,1255.359,1240.571,1243.589,78.54541,-0.007634089595941159,14.664003380459054
2016-03-22,1243.589,1260.2400000000002,1243.109,1248.349,92.85727,0.0038203244136094244,14.693637567014584
2016-03-23,1248.35,1249.429,1215.3,1221.989,100.31309,-0.021342019216849882,15.485198942220585
2016-03-24,1221.99,1223.732,1212.16,1216.95,93.99012,-0.004132130545180745,14.636695264975552
2016-03-25,1221.99,1223.732,1212.16,1216.95,0.0,0.0,14.57534869724206
2016-03-26,1221.99,1223.732,1212.16,1216.95,0.0,0.0,14.391800097869636
2016-03-27,1215.608,1216.191,1212.909,1213.669,2.4243,-0.0026997254549576185,14.175849196872969
2016-03-28,1213.67,1223.06,1208.068,1222.5890000000002,81.36564,0.0073227382808823994,14.344469356302888
2016-03-29,1222.579,1242.878,1215.29,1238.999,82.84214,0.01333305419120624,14.850144122856399
2016-03-30,1238.999,1244.029,1223.169,1226.78,90.00255,-0.009910944994913741,14.43581854860958
2016-03-31,1226.73,1240.352,1223.839,1231.692,93.35676,0.003995983306854851,14.363708245611972
2016-04-01,1231.692,1235.26,1208.999,1221.449,99.34051,-0.008350974956427943,14.39796134421511
2016-04-02,1231.692,1235.26,1208.999,1221.449,0.0,0.0,13.608805045384756
2016-04-03,1220.102,1220.88,1217.889,1220.379,5.13632,-0.0008763926603231814,13.608555374626494
2016-04-04,1220.37,1222.5500000000002,1214.548,1215.138,92.19286,-0.004303815649690104,13.637157793057087
2016-04-05,1215.14,1236.751,1214.8380000000002,1230.819,117.41351,0.012822150870993457,14.165097142292923
2016-04-06,1230.82,1232.179,1216.481,1225.15,100.87554,-0.0046165159806529875,14.15123303515118
2016-04-07,1225.149,1243.2,1223.579,1238.589,127.36757,0.010909543007697932,14.549150333325175
2016-04-08,1238.59,1242.639,1229.55,1239.059,89.92645,0.000379392073157781,14.399752507660438
2016-04-09,1238.59,1242.639,1229.55,1239.059,0.0,0.0,13.746929504747168
2016-04-10,1239.398,1247.88,1239.198,1244.622,3.4313700000000003,0.004479648797765289,13.007976971282126
2016-04-11,1244.618,1259.93,1243.919,1257.189,105.4356,0.010046406942067857,13.33996991825192
2016-04-12,1257.199,1262.5890000000002,1251.1090000000002,1254.131,97.85385,-0.0024353738364111506,13.35050072674101
2016-04-13,1254.139,1256.7099999999998,1239.749,1240.959,94.26641,-0.01055843466027128,13.127333352090256
2016-04-14,1240.928,1244.05,1223.789,1229.319,120.406774,-0.009424110281767102,13.395807983661095
2016-04-15,1229.319,1235.84,1225.198,1233.398,83.76036,0.003312604517712224,11.899579190427044
2016-04-16,1229.319,1235.84,1225.198,1233.398,0.0,0.0,11.898607990960949
2016-04-17,1234.68,1239.324,1234.3490000000002,1237.0890000000002,3.40928,0.002988077044153435,11.917326621481731
2016-04-18,1236.989,1241.58,1227.88,1229.319,77.07723,-0.006300681561865726,12.034901075137752
2016-04-19,1229.3,1256.5790000000002,1227.649,1249.609,95.5178,0.016370344859828127,13.006436306678099
2016-04-20,1249.682,1257.94,1242.3290000000002,1245.249,98.04725,-0.0034951924627481764,12.852326968949152
2016-04-21,1245.25,1270.222,1243.309,1249.169,110.63956,0.0031430203173655885,12.836525363623128
2016-04-22,1249.119,1252.609,1227.3490000000002,1231.8780000000002,99.37646,-0.013938696002796196,11.911866286671783
2016-04-23,1249.119,1252.609,1227.3490000000002,1231.8780000000002,0.0,0.0,11.839191158048106
2016-04-24,1232.708,1232.9920000000002,1230.889,1232.659,3.30673,0.0006337904654247561,11.838725630904108
2016-04-25,1232.64,1242.23,1229.99,1237.9820000000002,86.10304,0.004309009877404632,11.8909601450948
2016-04-26,1237.982,1244.879,1231.298,1242.71,102.9717,0.0038118442151464332,11.885075723746077
2016-04-27,1242.762,1252.6,1239.35,1245.4589999999998,87.12491,0.002209657879765669,11.732194664515866
2016-04-28,1245.529,1269.59,1237.692,1265.51,101.38363,0.0159710663151867,12.002437548547928
2016-04-29,1265.509,1296.6519999999998,1264.961,1292.138,82.54209,0.02082300781518185,12.911065016450324
2016-04-30,1265.509,1296.6519999999998,1264.961,1292.138,0.0,0.0,12.902068005545885
2016-05-01,1290.48,1295.99,1290.379,1294.89,4.1378,0.002127538656759165,12.55270257332882
2016-05-02,1294.889,1303.655,1287.6090000000002,1289.7289999999998,92.2168,-0.0039936306739480724,12.659419381220683
2016-05-03,1289.73,1301.702,1282.172,1286.84,102.95933,-0.00224251802354557,12.690792961003503
2016-05-04,1286.839,1289.741,1271.749,1282.6989999999998,103.15701,-0.0032231490434378885,12.649665472205035
2016-05-05,1282.699,1286.4,1268.789,1277.378,109.39056,-0.004156912203970318,12.31731833132927
2016-05-06,1277.409,1295.49,1274.389,1287.028,97.50649,0.007526144885212846,12.318584286006246
2016-05-07,1277.409,1295.49,1274.389,1287.028,0.0,0.0,12.00726999638755
2016-05-08,1284.481,1287.361,1284.048,1285.579,4.65658,-0.0011264838766494407,12.02499028034327
2016-05-09,1285.589,1287.479,1261.2379999999998,1262.419,121.48845,-0.018179478829140304,13.275671587461979
