Date,Open,High,Low,Close,Volume,Returns,Volatility_30,outlier_iqr,z_score,outlier_zscore,anomaly_score,outlier_iforest,outlier_count,outlier_consensus
2016-01-03,1062.341,1066.321,1061.7289999999998,1063.059,1.61136,,,False,1.1954487109521745,False,-0.6344004898984593,True,1,False
2016-01-04,1063.059,1083.488,1062.239,1072.979,76.56875,0.0092882910494794,,False,1.1794872371497789,False,-0.6530301262046702,True,1,False
2016-01-05,1072.99,1082.048,1072.629,1077.632,72.43959,0.0043271491313992,,False,1.1720004692462964,False,-0.6424942620454144,True,1,False
2016-01-06,1077.632,1095.18,1074.928,1092.559,77.55685,0.0137566098130655,,False,1.1479826346244864,False,-0.6618634661755876,True,1,False
2016-01-07,1092.559,1110.08,1091.35,1109.21,94.99869,0.0151253991194455,,False,1.1211908503216952,False,-0.6418575704383195,True,1,False
2016-01-08,1109.199,1112.949,1092.229,1104.031,89.03622,-0.0046800230546972,,False,1.1295239625013935,False,-0.6257837471868165,True,1,False
2016-01-09,1109.199,1112.949,1092.229,1104.031,0.0,0.0,,False,1.1295239625013935,False,-0.6061876890454081,True,1,False
2016-01-10,1103.751,1108.151,1103.531,1106.622,0.59638,0.0023441048291386,,False,1.1253549928822395,False,-0.6125131898832793,True,1,False
2016-01-11,1106.622,1108.401,1093.439,1095.69,90.47447,-0.0099278301981405,,False,1.1429447944556053,False,-0.6422631794743636,True,1,False
2016-01-12,1095.699,1099.192,1083.4489999999998,1086.459,90.81362,-0.0084605176485431,,False,1.1577976537973302,False,-0.6518313339227314,True,1,False
2016-01-13,1086.448,1095.451,1079.76,1094.932,91.39667,0.0077684767302543,,False,1.1441644312642965,False,-0.6417462844288874,True,1,False
2016-01-14,1094.932,1095.161,1071.419,1076.851,96.99358,-0.0166512195410533,,False,1.1732571135043277,False,-0.6692819781025167,True,1,False
2016-01-15,1076.848,1097.2820000000002,1076.199,1088.371,100.26508,0.0106410416135535,,False,1.1547212084434815,False,-0.6506807186912452,True,1,False
2016-01-16,1076.848,1097.2820000000002,1076.199,1088.371,0.0,0.0,,False,1.1547212084434815,False,-0.6311747478869677,True,1,False
2016-01-17,1089.402,1090.7820000000002,1089.189,1090.332,0.95787,0.0018001540637347,,False,1.1515659211323426,False,-0.6310505669781726,True,1,False
2016-01-18,1090.281,1093.31,1087.508,1088.49,65.32665,-0.0016908223240247,,False,1.1545297351186343,False,-0.6272183170181328,True,1,False
2016-01-19,1088.489,1094.53,1082.459,1087.789,102.35461,-0.0006442188931143,,False,1.155657657813743,False,-0.6303212370972462,True,1,False
2016-01-20,1087.79,1109.619,1087.769,1099.38,94.26111,0.0105991887353758,,False,1.1370075123658028,False,-0.6308559785399683,True,1,False
2016-01-21,1099.379,1104.509,1092.389,1100.629,100.27918,0.0011354500224217,,False,1.1349978469646749,False,-0.6171038913101374,True,1,False
2016-01-22,1100.652,1102.779,1094.038,1097.462,73.50245,-0.0028815933384494,,False,1.140093611836871,False,-0.6210970302738317,True,1,False
2016-01-23,1100.652,1102.779,1094.038,1097.462,0.0,0.0,,False,1.140093611836871,False,-0.6171038913101374,True,1,False
2016-01-24,1097.3,1098.101,1097.13,1097.801,0.99359,0.0003088468239974,,False,1.1395481542139867,False,-0.6207236541549443,True,1,False
2016-01-25,1097.801,1108.99,1097.581,1108.7810000000002,59.64886,0.009952125618578,,False,1.121881119702867,False,-0.6291032162426073,True,1,False
2016-01-26,1108.781,1122.908,1107.482,1119.501,67.3316,0.0096218366476418,,False,1.1046324302712465,False,-0.6179009026012143,True,1,False
2016-01-27,1119.501,1127.99,1114.871,1124.689,63.076,0.0046235026819387,,False,1.0962848369157194,False,-0.5985608196613239,True,1,False
2016-01-28,1124.699,1124.852,1110.9,1114.17,69.55196000000001,-0.0093968199001285,,False,1.1132101134204975,False,-0.6179088576122271,True,1,False
2016-01-29,1114.169,1118.401,1108.352,1117.891,69.57642,0.0033341413581799,,False,1.1072229517250627,False,-0.601137078613508,True,1,False
2016-01-30,1114.169,1118.401,1108.352,1117.891,0.0,0.0,,False,1.1072229517250627,False,-0.5932043206871559,False,0,False
2016-01-31,1117.641,1118.059,1115.352,1117.518,1.08152,-0.0003337196937667,,False,1.107823116012189,False,-0.5940075718841924,True,1,False
2016-02-01,1117.518,1129.68,1116.898,1128.221,65.6104,0.0095319011130621,,False,1.0906017799126893,False,-0.6108247629495974,True,1,False
2016-02-02,1128.19,1130.951,1122.272,1127.35,62.23687,-0.0007723100210929,11.750684207189838,False,1.0920032359290086,False,-0.5804300426516639,False,0,False
2016-02-03,1127.349,1145.458,1124.319,1141.95,87.3389,0.0128675815878102,11.988119716078256,False,1.068511550695644,False,-0.6061090152533843,True,1,False
2016-02-04,1141.899,1157.308,1139.548,1155.449,97.63203,0.0117516855827065,12.29834737784548,False,1.0467913959720012,False,-0.5833500713457292,False,0,False
2016-02-05,1155.449,1174.49,1145.188,1173.352,91.53889,0.015375596885356,12.437293673705089,False,1.0179851192094722,False,-0.5793518076047407,False,0,False
2016-02-06,1155.449,1174.49,1145.188,1173.352,0.0,0.0,11.848831628474166,False,1.0179851192094722,False,-0.5274820858273654,False,0,False
2016-02-07,1173.299,1173.299,1164.739,1164.789,1.9711,-0.007324655171883,11.999775550158146,False,1.0317631535007943,False,-0.5352454711459184,False,0,False
2016-02-08,1164.789,1200.799,1164.248,1190.99,102.97701,0.0222449392979143,13.366274063712154,False,0.9896052326241245,False,-0.578887421288993,False,0,False
2016-02-09,1190.989,1198.881,1185.6409999999998,1189.1809999999998,110.7749,-0.0015200591455992,13.41769466710454,False,0.9925159489657108,False,-0.46092954440297945,False,0,False
2016-02-10,1189.181,1198.609,1181.489,1198.6,106.40307,0.0078893741552586,12.981996354527588,False,0.9773605939511176,False,-0.49272338392324605,False,0,False
2016-02-11,1198.61,1263.329,1198.1409999999998,1240.27,124.24411,0.0341748888081469,15.374100005647678,False,0.9103127498638374,False,-0.5905731918825039,False,0,False
2016-02-12,1240.2,1246.088,1232.372,1237.452,111.57354,-0.0022746710204435,15.458969481316972,False,0.9148469669177839,False,-0.4116565643015492,False,0,False
