,Open,High,Low,Close,Volume,Returns,Volatility_30,outlier_iqr,z_score,outlier_zscore,anomaly_score,outlier_iforest,outlier_count,outlier_consensus,sentiment_numeric,sentiment,sentiment_score,num_noticias,sentiment_ma7,sentiment_ma30,sentiment_extreme,has_outlier,outlier_AND_extreme_sentiment
2016-01-03,1062.341,1066.321,1061.7289999999998,1063.059,1.61136,,,False,1.1954487109521743,False,-0.6344004898984593,True,1,False,0.0833333333333333,0.036219909787178,0.8131130834420522,12,,,False,False,False
2016-01-04,1063.059,1083.488,1062.239,1072.979,76.56875,0.0092882910494794,,False,1.1794872371497789,False,-0.6530301262046702,True,1,False,0.1538461538461538,0.1043986678123474,0.835821284697606,13,,,False,False,False
2016-01-05,1072.99,1082.048,1072.629,1077.632,72.43959,0.0043271491313992,,False,1.1720004692462964,False,-0.6424942620454144,True,1,False,-0.2631578947368421,-0.2260547499907644,0.7763216322974155,19,,,False,False,False
2016-01-06,1077.632,1095.18,1074.928,1092.559,77.55685,0.0137566098130655,,False,1.1479826346244864,False,-0.6618634661755876,True,1,False,-0.3157894736842105,-0.256826030580621,0.7690667792370445,19,-0.074713065294096,,False,False,False
2016-01-08,1109.199,1112.949,1092.229,1104.031,89.03622,-0.0046800230546972,,False,1.1295239625013935,False,-0.6257837471868165,True,1,False,0.1666666666666666,0.1339471538861592,0.7976382308536105,18,-0.1027214852158852,,False,False,False
2016-01-11,1106.622,1108.401,1093.439,1095.69,90.47447,-0.0099278301981405,,False,1.1429447944556053,False,-0.6422631794743636,True,1,False,-0.0526315789473684,-0.0546249747276306,0.8067004555150082,19,-0.1453617481235632,,False,False,False
2016-01-12,1095.699,1099.192,1083.4489999999998,1086.459,90.81362,-0.0084605176485431,,False,1.1577976537973302,False,-0.6518313339227314,True,1,False,-0.2666666666666666,-0.2600514332453409,0.7780268629391988,15,-0.1232984341051703,,False,False,False
2016-01-13,1086.448,1095.451,1079.76,1094.932,91.39667,0.0077684767302543,,False,1.1441644312642965,False,-0.6417462844288874,True,1,False,-0.1481481481481481,-0.1598390296653465,0.727576008549443,27,0.0467910388483679,,False,False,False
2016-01-14,1094.932,1095.161,1071.419,1076.851,96.99358,-0.0166512195410533,,False,1.1732571135043277,False,-0.6692819781025167,True,1,False,-0.2307692307692307,-0.1940831725413982,0.715720690213717,26,0.0037551568594379,,False,False,False
2016-01-15,1076.848,1097.2820000000002,1076.199,1088.371,100.26508,0.0106410416135535,,False,1.1547212084434817,False,-0.6506807186912452,True,1,False,-0.1052631578947368,-0.0716115518620139,0.7641273956549796,19,0.0148353176816251,,False,False,False
2016-01-17,1089.402,1090.7820000000002,1089.189,1090.332,0.95787,0.0018001540637347,,False,1.1515659211323426,False,-0.6310505669781726,True,1,False,1.0,0.9338002800941468,0.9338002800941468,1,0.022957578078513,,True,False,False
2016-01-19,1088.489,1094.53,1082.459,1087.789,102.35461,-0.0006442188931143,,False,1.155657657813743,False,-0.6303212370972462,True,1,False,-0.1818181818181818,-0.1673040200363506,0.7940239581194791,22,-0.0119570912776852,,False,False,False
2016-01-20,1087.79,1109.619,1087.769,1099.38,94.26111,0.0105991887353758,,False,1.1370075123658028,False,-0.6308559785399683,True,1,False,0.04,0.0229361510276794,0.7448929274082183,25,-0.0176962070293919,,False,False,False
2016-01-25,1097.801,1108.99,1097.581,1108.7810000000002,59.64886,0.009952125618578,,False,1.121881119702867,False,-0.6291032162426073,True,1,False,-0.2352941176470588,-0.2031956104671254,0.7617577033884385,17,-0.0626805564361434,,False,False,False
2016-01-26,1108.781,1122.908,1107.482,1119.501,67.3316,0.0096218366476418,,False,1.1046324302712465,False,-0.6179009026012143,True,1,False,-0.4285714285714285,-0.404241715158735,0.7597976412091937,14,-0.2129006840157317,,False,False,False
2016-01-27,1119.501,1127.99,1114.871,1124.689,63.076,0.0046235026819387,,False,1.0962848369157194,False,-0.5985608196613239,True,1,False,-0.3142857142857143,-0.2342569828033447,0.8122661539486477,35,-0.125549871190442,-0.068450006308838,False,False,False
2016-01-28,1124.699,1124.852,1110.9,1114.17,69.55196000000001,-0.0093968199001285,,False,1.1132101134204977,False,-0.6179088576122271,True,1,False,-0.45,-0.3865019977092743,0.8420295536518096,20,-0.197522094540422,-0.0846666454898162,False,False,False
2016-01-29,1114.169,1118.401,1108.352,1117.891,69.57642,0.0033341413581799,,False,1.107222951725063,False,-0.601137078613508,True,1,False,-0.1739130434782608,-0.1177406129629715,0.7585002468979877,23,-0.1880298404974849,-0.0924996824120893,False,False,False
2016-01-30,1114.169,1118.401,1108.352,1117.891,0.0,0.0,,False,1.107222951725063,False,-0.5932043206871559,False,0,False,0.5,0.4441516697406769,0.7502584159374237,2,-0.1406007263734885,-0.0777891830919755,True,False,False
2016-01-31,1117.641,1118.059,1115.352,1117.518,1.08152,-0.0003337196937667,,False,1.107823116012189,False,-0.5940075718841924,True,1,False,-0.5,-0.4808694124221802,0.864994078874588,2,-0.1336734807665097,-0.0703394812690497,False,False,False
